unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054371U000,TZPWR2403000054371,Dudhnial Dam hydroelectric plant,Dudhnial Dam hydroelectric plant,inactive,water,hydro-reservoir,960,MW,PAK,PAK-JK,34.6805,73.9658,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,Neelum River,shelved
TZPWR2403000054372U000,TZPWR2403000054372,Engro power station - 1,Engro power station,operating,natural-gas,combined-cycle,227,MW,PAK,PAK-SD,28.02607,69.364931,exact,diesel,NA,NA,NA,01/01/2010,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054373U000,TZPWR2403000054373,FFC Energy wind farm,FFC Energy wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,25.0647,67.995,exact,NA,NA,NA,NA,01/01/2013,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054374U000,TZPWR2403000054374,Faisalabad FIEDMC power station - Unit 1,Faisalabad FIEDMC power station,inactive,coal-unspecified,subcritical,135,MW,PAK,PAK-PB,31.429167,73.078889,approximate,NA,NA,NA,NA,,,,TRUE,industrial,textiles,FALSE,,,,,cancelled
TZPWR2403000054374U001,TZPWR2403000054374,Faisalabad FIEDMC power station - Unit 2,Faisalabad FIEDMC power station,inactive,coal-unspecified,subcritical,135,MW,PAK,PAK-PB,31.429167,73.078889,approximate,NA,NA,NA,NA,,,,TRUE,industrial,textiles,FALSE,,,,,cancelled
TZPWR2403000054375U000,TZPWR2403000054375,Faisalabad Sitara Chemical power plant - Unit 1,Faisalabad Sitara Chemical power plant,operating,coal-unspecified,circulating-fluidized-bed,40,MW,PAK,PAK-PB,31.522924,73.388223,exact,NA,NA,NA,NA,01/01/2016,,,TRUE,non_industrial,chemicals,FALSE,,,,,operating
TZPWR2403000054375U001,TZPWR2403000054375,Faisalabad Sitara Chemical power plant - Unit 2,Faisalabad Sitara Chemical power plant,committed,coal-unspecified,coal-unspecified,40,MW,PAK,PAK-PB,31.522924,73.388223,exact,NA,NA,NA,NA,01/01/2024,,,TRUE,non_industrial,chemicals,FALSE,,,,,under_construction
TZPWR2403000054376U000,TZPWR2403000054376,Faisalabad power station - Unit 1,Faisalabad power station,inactive,coal-unspecified,subcritical,55,MW,PAK,PAK-PB,31.429167,73.078889,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054376U001,TZPWR2403000054376,Faisalabad power station - Unit 2,Faisalabad power station,inactive,coal-unspecified,subcritical,55,MW,PAK,PAK-PB,31.429167,73.078889,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054377U000,TZPWR2403000054377,Fauji Fertilizer power station - --,Fauji Fertilizer power station,operating,coal-unspecified,circulating-fluidized-bed,118,MW,PAK,PAK-SD,24.83309,67.41962,exact,NA,NA,NA,NA,01/01/2017,,,TRUE,non_industrial,chemicals,FALSE,,,,,operating
TZPWR2403000054378U000,TZPWR2403000054378,Fauji Kabirwala power station - 1,Fauji Kabirwala power station,operating,natural-gas,combined-cycle,170,MW,PAK,PAK-PB,30.5234443,71.9548461,exact,diesel,NA,NA,NA,01/01/1999,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054379U000,TZPWR2403000054379,Finergy wind farm,Finergy wind farm,inactive,NA,wind-onshore,50,MW,PAK,PAK-SD,25.1691,67.7886,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054380U000,TZPWR2403000054380,Foundation Wind Energy wind farm - 1,Foundation Wind Energy wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,24.6098,67.4001,exact,NA,NA,NA,NA,01/01/2015,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054380U001,TZPWR2403000054380,Foundation Wind Energy wind farm - 2,Foundation Wind Energy wind farm,operating,NA,wind-onshore,50,MW,PAK,PAK-SD,24.574,67.4655,exact,NA,NA,NA,NA,01/01/2014,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054381U000,TZPWR2403000054381,Foundation power station - 1,Foundation power station,operating,natural-gas,combined-cycle,185,MW,PAK,PAK-SD,27.980482,69.673621,exact,NA,NA,NA,NA,01/01/2011,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054382U000,TZPWR2403000054382,GTPS Faisalabad power station - 1-1,GTPS Faisalabad power station,operating,natural-gas,combined-cycle,144,MW,PAK,PAK-PB,31.444352,73.133493,exact,diesel,NA,NA,NA,01/01/1944,,,FALSE,,,FALSE,,,,,operating
